,query,intent,,
0,Could you please help me reset my account password?,password_reset,,
1,What company charged my account last?,transaction_query,,
2,How do I schedule an appointment to discuss loan options and apply?,loan_inquiry,,
3,Which loans 2day suited me?,loan_inquiry,,
4,Do you have any updated timelines for my loan approval?,loan_inquiry,,
5,can i be approved based on my creds?,loan_inquiry,,
6,yall better call me now,fraud_report,,
7,Could you inform me of your short-term and long-term loans?,loan_inquiry,,
8,I swear I didn?? buy from here!,fraud_report,,
9,Was the transaction successful without complications?,transaction_query,,
10,I am requesting an immediate password reset.,password_reset,,
11,Just noticed a sketchy charge ??what do I do now?,fraud_report,,
12,I am following up to confirm the status of my loan application.,loan_inquiry,,
13,Could you send me a list of your loan types?,loan_inquiry,,
14,What was the exact time and date of the last transaction?,transaction_query,,
15,charges in Mexico??y card?? in NYC!!,fraud_report,,
16,I didn?? approve the date change on check #2222.,fraud_report,,
17,Can you get me the date and time of my last payment?,transaction_query,,
18,anything missing on my loan app?,loan_inquiry,,
19,Can you provide instructions for uploading documents to the application portal?,credi_card_application,,
20,"Yo, can you find out when my last trans happened?",transaction_query,,
21,May I have your assistance in verifying my eligibility for a loan?,loan_inquiry,,
22,I noticed suspicious activity on my statement and would like to report it.,fraud_report,,
23,Please advise on how to activate my credit card upon receipt.,credi_card_application,,
24,do i tick off da loan criteria?,loan_inquiry,,
25,Did the last one work out fine or nah?,transaction_query,,
26,what?? my latest financial regret,transaction_query,,
27,WHAT DID I BUY LAST WEEK HELP,transaction_query,,
28,this shady af ngl,fraud_report,,
29,can i open LOC w/my score?,loan_inquiry,,
30,I am looking to apply for a loan; could you describe the process?,loan_inquiry,,
31,"$800 AT ""THIEVES R US""? I?? CONTACTING THE FTC??EVERSE THIS OR ELSE!!",fraud_report,,
32,Was the last transaction smooth sailing?,transaction_query,,
33,any holds on my loan app?,loan_inquiry,,
34,my loan still in que?,loan_inquiry,,
35,I??e never even heard of this store.,fraud_report,,
36,The last time I swiped my card??here was that?,transaction_query,,
37,whats the fee 4 app?,loan_inquiry,,
38,someone?? overdrawin my acc??top ??m!!,fraud_report,,
39,"hey, are ya lookin at my loan app? what?? the status?",loan_inquiry,,
40,What?? the current status of my loan application in your records?,loan_inquiry,,
41,cc app stuck? wut i do?,credi_card_application,,
42,ugh my payment failed??hy tho?,transaction_query,,
43,Which loans do u give?,loan_inquiry,,
44,Could you explain your automated underwriting process?,loan_inquiry,,
45,what docs 4 credit card app?,credi_card_application,,
46,That check transaction was posted after hours.,fraud_report,,
47,last transac??id i even need it,transaction_query,,
48,What time and date was the last thing I bought?,transaction_query,,
49,Can you let me know the time and date of my last payment?,transaction_query,,
50,i deadass didn?? swipe,fraud_report,,
51,latest purchse deets ASAP OR ELSE,transaction_query,,
52,This charge doesn?? look familiar ??could it be fraud?,fraud_report,,
53,"Yo, was that last payment good to go?",transaction_query,,
54,Was the last payment processed correctly?,transaction_query,,
55,would i qualify 4 mortgage?,loan_inquiry,,
56,my wallet got stolen??ls cancel my card NOW,fraud_report,,
57,Please advise on whether I am eligible to apply for a loan with your bank.,loan_inquiry,,
58,I??e refreshed a million times??AVINGS BALANCE STAT!,balance_inquiry,,
59,Would you kindly confirm the current outcome of my loan application review?,loan_inquiry,,
60,What?? the time and date of the last thing I did?,transaction_query,,
61,"Yo, can you check the date for my last payment?",transaction_query,,
62,What vendor processed my most recent charge?,transaction_query,,
63,I?? not even online shopping ??why this charge??,fraud_report,,
64,do i pull off da loan profile?,loan_inquiry,,
65,"Ur loans rite now, details.",loan_inquiry,,
66,Do you have options for debt relief loans?,loan_inquiry,,
67,too many charges poppin up,fraud_report,,
68,can i get overdraft protection loan?,loan_inquiry,,
69,Can you tell me when I did my last payment?,transaction_query,,
70,pls stop askin security Qs??ust reset it!!,password_reset,,
71,lemme know my balance b4 i spend more,balance_inquiry,,
72,Was the last transaction carried out correctly?,transaction_query,,
73,Any tips on applyin 4 a loan?,loan_inquiry,,
